306606|GBP|16.414|
4199405|GBP|0.016|
2079172|GBP|0.054|
4802479|GBP|0.25|
4967767|GBP|0.112|
3378819|GBP|0.01|
5420027|GBP|19.57|
5320245|GBP|0.064|
5404730|GBP|0.16|
431281|GBP|0.236|
4587397|GBP|0.346|
4019885|GBP|0.52|
5130481|GBP|0.051|
5332127|GBP|0.22|
2400234|GBP|2.04|
5112676|GBP|0.24|
5061010|GBP|0.222|
847301|GBP|0.052|
3979485|GBP|6.402|
3419501|GBP|0.458|
3426227|GBP|0.222|
4792028|GBP|4.356|
1280608|GBP|0.306|
5014676|GBP|0.348|
5356832|GBP|2.846|
2922985|GBP|7.394|
5313639|GBP|49.5|
5388120|GBP|5.7|
1537161|GBP|0.148|
5359317|GBP|0.63|
5421812|GBP|1.886|
1933303|GBP|1.864|
3196235|GBP|0.38|
5149105|GBP|0.47|
2359976|GBP|0.004|
2360462|GBP|0.044|
4522773|GBP|0.078|
2610015|GBP|0.044|
2812075|GBP|0.562|
2753243|GBP|1.22|
3403758|GBP|0.004|
1310534|GBP|4.29|
4452388|GBP|0.148|
3844952|GBP|0.126|
3630028|GBP|0.2|
2356152|GBP|2.51|
3015331|EUR|0.006|
4009468|GBP|0.002|
1666255|EUR|1.168|
2932530|GBP|1.09|
4623645|GBP|0.164|
4741418|GBP|1.152|
3946944|GBP|1.3|
5307629|EUR|0.09|
320038|GBP|2.086|
8808|GBP|12.45|
5248693|GBP|0.34|
5177536|GBP|0.02|
4414961|GBP|0.944|
1412679|GBP|2.262|
5295086|GBP|10.5798|
5014555|GBP|0.048|
471873|GBP|24.834|
4476165|GBP|0.01|
895753|GBP|0.192|
901539|GBP|0.13|
5168847|GBP|1.942|
5440474|GBP|14.748|
4064764|GBP|0.362|
5285961|GBP|0.208|
494966|GBP|0.77|
4577583|GBP|0.128|
1569812|GBP|0.61|
2925139|USD|1.856|
1534101|GBP|0.186|
5452619|GBP|2.436|
4563820|GBP|0.282|
1748324|GBP|2.3|
594213|GBP|0.024|
1785541|GBP|0.172|
5381363|GBP|0.018|
1433180|GBP|0.022|
3863564|GBP|0.318|
93523|GBP|0.38|
2632632|GBP|0.056|
4987899|GBP|1.118|
4606856|EUR|4.086|
5419310|GBP|3.334|
5397012|GBP|0.24|
5419955|GBP|3.792|
4944189|GBP|0.22|
5451581|GBP|0.02|
5135695|GBP|0.46|
3246029|GBP|8.578|
5301253|EUR|2.292|
4927465|GBP|1.43|
5112607|GBP|1.583|
5103529|GBP|0.908|
2402932|GBP|0.532|
3959816|GBP|1.15|
2526160|GBP|0.26|
925264|EUR|0.0004|
3303203|GBP|0.02|
4130322|EUR|0.702|
5228217|GBP|0.322|
2437119|GBP|0.094|
1335447|GBP|0.034|
3298030|GBP|2.0|
183132|GBP|0.588|
1450810|EUR|0.026|
4338318|GBP|0.072|
1396112|EUR|0.007|
853226|GBP|0.208|
1891289|GBP|1.14|
ProdEuro|GBP|0.038|
2655475|GBP|44.475|
1064028|GBP|0.86|
5272327|GBP|3.234|
4841518|GBP|0.084|
5284311|EUR|0.096|
2551337|GBP|0.408|
5444054|GBP|0.11|
3544260|GBP|1.362|
5016106|GBP|5.04|
5406478|GBP|203.25|
4638785|GBP|0.408|
998225|EUR|0.756|
4609272|GBP|0.154|
5185787|GBP|1.136|
1315349|GBP|0.004|
4864995|GBP|1.22|
2835174|EUR|0.084|
4629684|GBP|0.094|
3616426|GBP|1.65|
332485|GBP|1.58|
3618561|GBP|0.256|
852615|GBP|0.12|
579302|GBP|1.86|
5346376|GBP|0.33|
5395299|GBP|5.006|
5143857|GBP|0.058|
5131292|GBP|1.354|
5063018|GBP|3.94|
5110522|GBP|5.18|
4664843|GBP|0.018|
5308098|EUR|0.04|
5169220|GBP|2.31|
4926873|GBP|0.032|
1112454|GBP|0.762|
1162696|GBP|0.066|
2230868|GBP|3.874|
2340244|GBP|1.159|
1840195|GBP|0.046|
1884019|GBP|2.04|
1693690|GBP|0.93|
1248983|GBP|1.65|
2334593|GBP|6.46|
2449966|GBP|0.07|
4568341|GBP|0.074|
491940|GBP|0.278|
4820060|GBP|0.678|
3741647|GBP|0.592|
4855290|GBP|0.19|
117096|GBP|1.384|
4325657|EUR|0.006|
4669618|GBP|0.16|
4495439|GBP|2.816|
5387512|GBP|18.79|
1757079|GBP|0.133|
2603829|GBP|3.906|
2445336|GBP|0.09|
2290551|GBP|0.332|
4703909|GBP|11.488|
1986132|GBP|3.4985|
4866914|GBP|1.04|
5052618|GBP|0.02|
5254597|EUR|0.0369|
2879048|GBP|1.792|
1150879|GBP|0.064|
2604859|EUR|1.864|
5415716|GBP|0.008|
4875310|USD|0.288|
519751|GBP|0.052|
5045749|GBP|0.458|
2398717|GBP|0.388|
5313942|GBP|0.61|
376913|GBP|0.46|
1583457|GBP|6.16|
5399679|GBP|0.024|
3276085|GBP|1.96|
4621484|GBP|2.02|
5402893|GBP|0.09|
3637651|GBP|6.432|
5180152|GBP|0.204|
5303186|GBP|1.1|
4117496|GBP|0.112|
2554069|EUR|0.306|
408385|GBP|0.638|
2003622|GBP|0.1866|
2502747|BRL|0.14|
1578468|GBP|1.9|
5406560|GBP|0.46|
5139870|GBP|0.762|
4436840|GBP|0.21|
5071745|GBP|1.464|
3075025|GBP|0.27|
2222364|GBP|0.634|
3366358|GBP|0.062|
4613012|GBP|0.006|
5335660|GBP|0.149|
2568297|GBP|1.668|
5332896|EUR|0.822|
1125177|GBP|0.18|
782215|GBP|0.132|
3202502|GBP|0.046|
4893514|GBP|0.136|
5083708|GBP|0.574|
856345|GBP|0.0388|
1208042|GBP|0.12|
4616323|GBP|0.052|
5444826|GBP|0.226|
2622631|GBP|0.054|
4592359|GBP|0.94|
1456780|GBP|11.29|
4979518|GBP|0.068|
1680302|GBP|0.87|
1391418|GBP|0.12|
4999618|EUR|3.336|
4131357|GBP|0.58|
5156985|GBP|0.342|
4514964|GBP|0.152|
674190|GBP|0.198|
4625933|GBP|8.82|
1383802|GBP|1.482|
4881702|GBP|1.616|
4371567|GBP|58.02|
4987805|GBP|0.188|
4996509|GBP|0.03|
2495623|GBP|1.25|
5273246|GBP|0.342|
5420048|GBP|0.24|
3206927|GBP|0.042|
4933628|GBP|0.058|
5025058|GBP|0.702|
5453457|GBP|290.6915|
4503137|GBP|0.808|
5282270|GBP|0.36|
2098515|GBP|0.02|
499293|GBP|0.002|
1482390|GBP|0.712|
5108026|GBP|0.016|
2473859|GBP|0.668|
1649650|GBP|1.558|
5431275|GBP|0.172|
3395559|GBP|2.3|
1646975|USD|0.0474|
5360133|EUR|0.006|
5074274|GBP|1.993|
778125|EUR|0.0039|
770405|GBP|0.65|
5321099|GBP|0.02|
5380925|NOK|0.54|
4927790|GBP|0.2|
2262538|GBP|0.08|
5347635|GBP|0.074|
5287612|GBP|3.6095|
5321525|GBP|1.0|
3638724|GBP|0.152|
507071|GBP|0.22|
5277114|GBP|0.254|
1994173|GBP|41.0|
319067|GBP|1.98|
3745574|GBP|0.014|
1473284|GBP|0.026|
5200494|GBP|0.69|
1308596|GBP|0.028|
1458682|GBP|0.492|
4764906|GBP|4.172|
584518|GBP|36.99|
5405493|GBP|0.504|
1298778|GBP|0.084|
4900718|GBP|0.274|
2183182|GBP|2.23|
5267843|GBP|0.21|
719643|GBP|2.132|
1715441|GBP|5.58|
3297800|GBP|102.114|
1960046|GBP|0.17|
5345929|USD|0.162|
4175902|GBP|0.15|
4363072|GBP|0.14|
1123821|GBP|0.304|
4000996|DKK|0.06|
3374003|GBP|0.176|
1451016|GBP|0.03|
692812|GBP|0.49|
4415556|GBP|0.732|
4382270|GBP|0.434|
795420|GBP|0.94|
4722143|GBP|0.074|
1902373|GBP|1.866|
5414073|EUR|7.396|
2202123|GBP|2.32|
5435770|EUR|1.62|
5355747|GBP|93.868|
4477332|GBP|0.25|
5332138|GBP|4.468|
4333359|GBP|4.428|
2540908|GBP|1.828|
552445|GBP|0.252|
5336679|GBP|0.098|
5399860|GBP|51.79|
2539550|GBP|0.534|
5071754|USD|0.021|
5322220|EUR|0.234|
2255566|GBP|0.288|
4987766|GBP|0.01|
4832645|GBP|0.912|
5413790|GBP|1.08|
2769805|GBP|0.032|
2058036|GBP|2.422|
4946102|GBP|1.558|
5071949|GBP|4.332|
4603266|GBP|6.346|
5385883|GBP|5.55|
1322681|GBP|0.71|
3211194|GBP|38.966|
5167181|GBP|1.96|
5172695|GBP|0.012|
5172258|GBP|1.472|
2026969|GBP|2.0|
5221437|GBP|0.126|
1295249|GBP|4.73|
5425710|GBP|0.692|
5185234|GBP|0.46|
1801220|GBP|2.36|
4337287|GBP|0.7835|
5356091|GBP|2.89|
4856223|GBP|4.59|
4976445|GBP|0.05|
1178205|GBP|0.62|
1627216|GBP|0.02|
915448|GBP|8.334|
4895347|GBP|0.616|
2278825|GBP|15.7|
3573644|GBP|0.948|
503285|GBP|0.572|
5301859|GBP|0.368|
5275495|GBP|0.078|
4927280|GBP|16.022|
4168336|GBP|0.498|
5357036|GBP|5.126|
1421402|EUR|8.2155|
3761323|GBP|13.788|
5116104|GBP|0.19|
5401563|EUR|0.456|
3370737|GBP|0.794|
387269|GBP|0.294|
5223530|GBP|0.652|
5318391|GBP|1.36|
2390652|GBP|0.102|
1326208|GBP|3.22|
2275435|GBP|0.128|
5388026|GBP|0.468|
620191|GBP|0.002|
483720|USD|1.432|
3545987|GBP|0.178|
5322578|GBP|0.102|
4712794|GBP|1.61|
4193335|GBP|5.28|
4120541|GBP|0.118|
647665|GBP|0.236|
3157498|GBP|0.14|
4657454|GBP|0.36|
718502|GBP|0.078|
5183387|GBP|0.026|
4721237|GBP|0.124|
5352070|GBP|0.44|
5406852|GBP|0.038|
2486655|GBP|0.082|
3312532|GBP|7.44|
5360631|GBP|0.658|
5033393|GBP|0.846|
3475354|GBP|0.024|
2504231|GBP|0.352|
3619915|EUR|0.078|
5096248|GBP|1.34|
3232571|EUR|1.1|
2369292|EUR|0.15|
4536712|GBP|0.052|
5294027|GBP|1.348|
3326862|GBP|1.55|
3575499|GBP|0.266|
4861968|EUR|0.674|
5316260|GBP|0.234|
5079179|GBP|0.248|
2235590|GBP|3.062|
2095641|GBP|3.32|
5438094|GBP|2.052|
4861753|GBP|5.85|
2334944|GBP|1.86|
2578951|GBP|0.222|
4253652|GBP|4.25|
5224830|GBP|0.2|
2374|GBP|0.14|
1719638|GBP|0.392|
5443157|GBP|0.21|
281068|GBP|9.566|
5332193|GBP|0.36|
5374567|GBP|0.038|
1294315|EUR|0.44|
3005402|GBP|0.742|
4893963|GBP|0.124|
832983|GBP|0.17|
683407|GBP|3.2|
1255424|GBP|0.004|
467902|GBP|0.058|
5277865|GBP|2.562|
2172791|GBP|0.298|
5249451|GBP|9.02|
5207492|GBP|1.14|
5275527|GBP|0.228|
2090926|GBP|0.228|
2783636|GBP|0.916|
57993|EUR|0.402|
4463434|GBP|0.1|
1485288|GBP|45.36|
5329454|GBP|0.036|
1680137|GBP|8.84|
923371|GBP|0.624|
2159369|GBP|0.948|
5366043|GBP|0.36|
3472280|GBP|2.138|
717802|GBP|0.14|
3748685|GBP|7.614|
4729016|GBP|0.242|
5443636|EUR|0.018|
568628|GBP|4.33|
3902702|GBP|0.734|
4057671|GBP|0.136|
4627743|GBP|1.47|
5262482|GBP|0.684|
5033968|GBP|0.482|
5112423|GBP|0.03|
5311210|GBP|0.214|
3641910|GBP|8.75|
2430675|GBP|0.1713|
3965890|GBP|1.194|
619738|GBP|0.144|
5310147|GBP|0.37|
544362|GBP|0.576|
5147843|GBP|0.084|
5294993|GBP|2.008|
769203|GBP|0.24|
4548723|GBP|2.076|
906868|GBP|0.182|
752025|EUR|0.0156|
3342089|GBP|2.072|
2488582|GBP|0.248|
3548288|GBP|0.794|
776292|GBP|2.76|
2247664|GBP|0.06|
1445383|GBP|0.134|
1554890|GBP|0.796|
2366073|EUR|3.976|
5420636|GBP|1.142|
628143|GBP|0.336|
1736804|GBP|11.514|
4989449|GBP|0.122|
5233056|GBP|0.024|
5376686|GBP|0.686|
2577079|GBP|0.816|
1229507|GBP|0.958|
3580574|GBP|0.77|
5415338|GBP|0.044|
4566937|GBP|2.66|
1318328|GBP|3.162|
4605983|GBP|0.016|
4740815|GBP|0.148|
5249201|GBP|10.71|
4627007|GBP|0.064|
3928788|GBP|0.002|
